"","ASR","category","type","rankings","iso","name"
"1675",4.1,"colorectum","mortality",139,"MEX","Mexico"
"1676",4.1,"colorectum","mortality",139,"AZE","Azerbaijan"
"1677",25.8,"breast","incidence",140,"MRT","Mauritania"
"1678",25.8,"breast","incidence",140,"IND","India"
"1679",10.8,"breast","mortality",140,"TUN","Tunisia"
"1680",10.8,"breast","mortality",140,"COL","Colombia"
"1681",4.8,"lung","incidence",140,"BWA","Botswana"
"1682",4.4,"lung","mortality",140,"BWA","Botswana"
"1683",2.9,"liver","mortality",140,"TZA","United Republic of Tanzania"
"1684",2.9,"liver","mortality",140,"DNK","Denmark"
"1685",2.9,"liver","mortality",140,"ISL","Iceland"
"1686",2.9,"liver","mortality",140,"GBR","United Kingdom of Great Britain and Northern Ireland"
"1687",2.9,"liver","mortality",140,"FRA","France"
"1688",2.9,"liver","mortality",140,"NZL","New Zealand"
"1689",2.9,"stomach","mortality",140,"TZA","United Republic of Tanzania"
"1690",2.9,"stomach","mortality",140,"DNK","Denmark"
"1691",2.9,"stomach","mortality",140,"ISL","Iceland"
"1692",2.9,"stomach","mortality",140,"GBR","United Kingdom of Great Britain and Northern Ireland"
"1693",2.9,"stomach","mortality",140,"FRA","France"
"1694",2.9,"stomach","mortality",140,"NZL","New Zealand"
"1695",4.7,"lung","incidence",141,"WSM","Samoa"
"1696",4.3,"lung","mortality",141,"ZWE","Zimbabwe"
"1697",5.5,"colorectum","incidence",141,"TJK","Tajikistan"
"1698",25.6,"breast","incidence",142,"GHA","Ghana"
"1699",10.6,"breast","mortality",142,"UZB","Uzbekistan"
"1700",4.1,"lung","incidence",142,"GUY","Guyana"
"1701",3.9,"lung","mortality",142,"GNQ","Equatorial Guinea"
"1702",3.9,"lung","mortality",142,"GUY","Guyana"
"1703",1,"thyroid","incidence",142,"RWA","Rwanda"
"1704",1,"thyroid","incidence",142,"AGO","Angola"
"1705",1,"thyroid","incidence",142,"TCD","Chad"
"1706",1,"thyroid","incidence",142,"BFA","Burkina Faso"
"1707",1,"thyroid","incidence",142,"NIC","Nicaragua"
"1708",3.7,"stomach","incidence",142,"BEN","Benin"
"1709",3.7,"stomach","incidence",142,"LBR","Liberia"
"1710",3.7,"stomach","incidence",142,"MDV","Maldives"
"1711",3.7,"stomach","incidence",142,"SWE","Sweden"
"1712",5.3,"colorectum","incidence",142,"COD","Democratic Republic of the Congo"
"1713",5.3,"colorectum","incidence",142,"UZB","Uzbekistan"
"1714",4,"colorectum","mortality",142,"RWA","Rwanda"
"1715",25.4,"breast","incidence",143,"AZE","Azerbaijan"
"1716",10.5,"breast","mortality",143,"ARE","United Arab Emirates"
"1717",3.9,"lung","incidence",143,"GNQ","Equatorial Guinea"
"1718",3.1,"liver","incidence",143,"COM","Comoros"
"1719",3.1,"liver","incidence",143,"ERI","Eritrea"
"1720",3.1,"liver","incidence",143,"BEL","Belgium"
