"","category","location","years","value"
"530","주꾸미","부산광역시",1970,0
"531","주꾸미","경기도",1970,38
"532","주꾸미","강원도",1970,129
"533","주꾸미","충청남도",1970,32
"534","주꾸미","전라북도",1970,58
"535","주꾸미","전라남도",1970,441
"536","주꾸미","경상북도",1970,0
"537","주꾸미","경상남도",1970,1712
"538","살오징어(오징어)","부산광역시",1970,3101
"539","살오징어(오징어)","경기도",1970,58
"540","살오징어(오징어)","강원도",1970,42663
"541","살오징어(오징어)","충청남도",1970,89
"542","살오징어(오징어)","전라북도",1970,5
"543","살오징어(오징어)","전라남도",1970,734
"544","살오징어(오징어)","경상북도",1970,25259
"545","살오징어(오징어)","경상남도",1970,225
"546","살오징어(오징어)","제주도",1970,8
"547","기타연체동물류","부산광역시",1970,2406
"548","기타연체동물류","경기도",1970,3021
"549","기타연체동물류","강원도",1970,1
"550","기타연체동물류","충청남도",1970,211
"551","기타연체동물류","전라북도",1970,113
"552","기타연체동물류","전라남도",1970,1564
"553","기타연체동물류","경상북도",1970,321
"554","기타연체동물류","경상남도",1970,3432
"555","기타연체동물류","제주도",1970,0
"556","성게류","부산광역시",1970,6
"557","성게류","경기도",1970,0
"558","성게류","강원도",1970,2817
"559","성게류","충청남도",1970,0
"560","성게류","전라남도",1970,13
"561","성게류","경상북도",1970,163
"562","성게류","경상남도",1970,365
"563","성게류","제주도",1970,0
"564","우렁쉥이","부산광역시",1970,0
"565","우렁쉥이","강원도",1970,0
"566","우렁쉥이","전라남도",1970,0
"567","우렁쉥이","경상북도",1970,0
"568","우렁쉥이","경상남도",1970,0
"569","해삼","부산광역시",1970,84
"570","해삼","경기도",1970,25
"571","해삼","강원도",1970,64
"572","해삼","충청남도",1970,3
"573","해삼","전라남도",1970,301
"574","해삼","경상북도",1970,28
"575","해삼","경상남도",1970,758
"576","해삼","제주도",1970,68
"577","기타수산동물류","부산광역시",1970,2892
"578","기타수산동물류","경기도",1970,148
"579","기타수산동물류","강원도",1970,66
"580","기타수산동물류","충청남도",1970,141
"581","기타수산동물류","전라북도",1970,3
"582","기타수산동물류","전라남도",1970,2354
"583","기타수산동물류","경상북도",1970,130
"584","기타수산동물류","경상남도",1970,5341
"585","기타수산동물류","제주도",1970,0
"586","김류","부산광역시",1970,0
"587","김류","경기도",1970,1
"588","김류","강원도",1970,4
"589","김류","충청남도",1970,6
"590","김류","전라북도",1970,5
"591","김류","전라남도",1970,962
"592","김류","경상북도",1970,41
"593","김류","경상남도",1970,152
"594","김류","제주도",1970,0
"595","꼬시래기류","전라남도",1970,0
"596","꼬시래기류","경상남도",1970,0
"597","다시마류","강원도",1970,780
"598","다시마류","전라남도",1970,0
"599","다시마류","경상북도",1970,0
"600","다시마류","경상남도",1970,0
"601","다시마류","제주도",1970,0
"602","도박류","강원도",1970,0
"603","도박류","전라남도",1970,0
"604","도박류","경상북도",1970,0
"605","도박류","경상남도",1970,0
"606","도박류","제주도",1970,0
"607","모자반(말)류","충청남도",1970,41
"608","모자반(말)류","전라남도",1970,836
"609","모자반(말)류","경상북도",1970,0
"610","모자반(말)류","경상남도",1970,962
"611","모자반(말)류","제주도",1970,365
"612","미역류","부산광역시",1970,43
"613","미역류","경기도",1970,37
"614","미역류","강원도",1970,19119
"615","미역류","충청남도",1970,69
"616","미역류","전라북도",1970,6
"617","미역류","전라남도",1970,2156
"618","미역류","경상북도",1970,5544
"619","미역류","경상남도",1970,8063
"620","미역류","제주도",1970,3383
"621","우뭇가사리","부산광역시",1970,277
"622","우뭇가사리","경기도",1970,3
"623","우뭇가사리","강원도",1970,66
"624","우뭇가사리","충청남도",1970,22
"625","우뭇가사리","전라남도",1970,621
"626","우뭇가사리","경상북도",1970,610
"627","우뭇가사리","경상남도",1970,979
"628","우뭇가사리","제주도",1970,576
"629","기타가사리","충청남도",1970,0
"630","기타가사리","전라남도",1970,0
"631","기타가사리","경상북도",1970,0
"632","기타가사리","경상남도",1970,0
"633","기타가사리","제주도",1970,0
"634","톳","경기도",1970,0
"635","톳","충청남도",1970,0
"636","톳","전라남도",1970,3714
"637","톳","경상남도",1970,249
"638","톳","제주도",1970,4659
"639","파래류","충청남도",1970,0
"640","파래류","전라남도",1970,0
"641","파래류","경상남도",1970,0
"642","기타해조류","부산광역시",1970,148
"643","기타해조류","경기도",1970,7
"644","기타해조류","강원도",1970,31
"645","기타해조류","충청남도",1970,509
"646","기타해조류","전라남도",1970,2372
"647","기타해조류","경상북도",1970,1004
"648","기타해조류","경상남도",1970,3611
"649","기타해조류","제주도",1970,10310
"650","가오리류","부산광역시",1971,1699
"651","가오리류","경기도",1971,712
"652","가오리류","강원도",1971,297
"653","가오리류","충청남도",1971,313
"654","가오리류","전라북도",1971,44
"655","가오리류","전라남도",1971,2210
"656","가오리류","경상북도",1971,199
"657","가오리류","경상남도",1971,1691
"658","가오리류","제주도",1971,7
"659","가자미류","부산광역시",1971,4725
"660","가자미류","경기도",1971,4283
"661","가자미류","강원도",1971,370
"662","가자미류","충청남도",1971,481
"663","가자미류","전라북도",1971,594
"664","가자미류","전라남도",1971,1869
"665","가자미류","경상북도",1971,849
"666","가자미류","경상남도",1971,5462
"667","갈치","부산광역시",1971,15055
"668","갈치","경기도",1971,20373
"669","갈치","강원도",1971,0
"670","갈치","충청남도",1971,3076
"671","갈치","전라북도",1971,12750
"672","갈치","전라남도",1971,17634
"673","갈치","경상북도",1971,0
"674","갈치","경상남도",1971,13872
"675","갈치","제주도",1971,108
"676","강달이류","부산광역시",1971,11
"677","강달이류","경기도",1971,0
"678","강달이류","충청남도",1971,95
"679","강달이류","전라북도",1971,8
"680","강달이류","전라남도",1971,3646
"681","강달이류","경상남도",1971,0
"682","고등어","부산광역시",1971,47029
"683","고등어","경기도",1971,651
"684","고등어","강원도",1971,181
"685","고등어","충청남도",1971,257
"686","고등어","전라북도",1971,307
"687","고등어","전라남도",1971,4000
"688","고등어","경상북도",1971,227
"689","고등어","경상남도",1971,5281
"690","고등어","제주도",1971,2666
"691","꽁치","부산광역시",1971,1354
"692","꽁치","경기도",1971,0
"693","꽁치","강원도",1971,7801
"694","꽁치","전라남도",1971,37
"695","꽁치","경상북도",1971,20961
"696","꽁치","경상남도",1971,439
"697","꽁치","제주도",1971,0
"698","학공치","부산광역시",1971,0
"699","학공치","강원도",1971,0
"700","학공치","충청남도",1971,15
"701","학공치","전라북도",1971,0
"702","학공치","전라남도",1971,114
"703","학공치","경상북도",1971,0
"704","학공치","경상남도",1971,829
"705","학공치","제주도",1971,0
"706","넙치류","부산광역시",1971,803
"707","넙치류","경기도",1971,525
"708","넙치류","강원도",1971,173
"709","넙치류","충청남도",1971,263
"710","넙치류","전라북도",1971,361
"711","넙치류","전라남도",1971,442
"712","넙치류","경상북도",1971,134
"713","넙치류","경상남도",1971,1634
"714","넙치류","제주도",1971,1
"715","노가리","강원도",1971,0
"716","노가리","경상북도",1971,0
"717","노가리","경상남도",1971,0
"718","농어류","부산광역시",1971,53
"719","농어류","경기도",1971,44
"720","농어류","강원도",1971,0
"721","농어류","충청남도",1971,48
"722","농어류","전라북도",1971,0
"723","농어류","전라남도",1971,78
"724","농어류","경상북도",1971,2
"725","농어류","경상남도",1971,32
"726","농어류","제주도",1971,6
"727","눈볼대","부산광역시",1971,773
"728","눈볼대","경기도",1971,0
"729","눈볼대","강원도",1971,87
